아이디,총 단어의 수,매칭된 단어,카테고리 분류 결과,카테고리 최종 결과
mgain83,833,"['첨가', '축하', '레이더스', '백숙', '소품', '생일케이크', '신랑', '관계자', '만두', '계곡', '제주도', '볶음', '가요', '카메라', '화이팅', '방치', '내일', '쫄면', '피시', '원피스', '말레이시아', '신곡', '돼지고기', '미고', '예비', '목표', '별표', '언제', '떡볶이', '하장', '파운데이션', '비빔면', '도수', '안성', '껍데기', '맥주잔', '정신', '쭈꾸미', '불고기', '두루치기']","[('푸드', 13), ('육아', 8), ('헬스', 8), ('뷰티', 4), ('여행', 3), ('인테리어', 2), ('패션', 1), ('펫', 1)]",푸드
daxbin,883,"['벨벳', '숙소', '셔링', '마스카라', '한글', '지속', '메이크업', '시술', '프레임', '잉크', '아이라인', '업뎃', '가요', '여보', '브로', '내일', '로켓', '밀착', '상세', '원피스', '취지', '베이스', '틴트', '옆구리', '점막', '언제', '익선동', '뷰러', '교복', '브러쉬', '페리페라', '달라', '눈썹', '발색', '생크림', '햇살', '토요일', '가디건', '비키니', '드컷', '기장', '타투', '세로']","[('뷰티', 19), ('패션', 6), ('육아', 5), ('헬스', 5), ('인테리어', 4), ('여행', 2), ('펫', 1), ('푸드', 1)]",-
knhs2,321,"['언제', '축하', '해바라기', '원피스', '색연필', '빼꼼', '문정', '메이크업', '블라우스', '당고', '조식', '기차', '달도', '제주도', '카메라']","[('여행', 5), ('육아', 3), ('헬스', 2), ('패션', 2), ('뷰티', 2), ('펫', 1)]",-
n.d.kim,1592,"['백숙', '강도', '아빠', '지속', '메이크업', '만두', '턱선', '키친', '계곡', '대망', '카메라', '화이팅', '따라서', '내일', '쫄면', '송리', '전부', '고정력', '유튭', '양념', '선수촌', '이목구비', '영광', '메이트', '달라', '조명', '다짐', '동영상', '목살', '공부', '껍데기', '차슈', '활동', '투어', '찰떡', '정신', '아란']","[('푸드', 8), ('뷰티', 8), ('헬스', 7), ('육아', 7), ('여행', 4), ('인테리어', 2), ('펫', 1)]",푸드
grim_b,2439,"['배움', '축하', '리치', '인생샷', '릴리', '거르기', '아빠', '소파', '와우산', '브릭', '하트', '고양이', '랜선', '진주', '스을쩍', '내일', '수강생', '콘텐츠', '집사', '크리에이티브', '군인', '외투', '개월', '대기', '문학', '분리수거', '스티커', '콜라보', '도서', '주머니', '면역', '출판', '파란', '아동', '크래커', '엉엉', '어도비', '달라', '파트너', '캐릭터', '시나', '훌훌', '학교', '공감', '일인', '활동', '최선', '티셔츠', '크리에이터', '싱글', '포스터', '무풍']","[('육아', 18), ('뷰티', 9), ('인테리어', 7), ('헬스', 6), ('여행', 4), ('펫', 4), ('푸드', 2), ('패션', 2)]",-
lovelyjoohee,654,"['노폐물', '침대', '시술', '기차', '시공', '계곡', '마미', '기구', '식탁', '미립', '조심', '대리석', '핸드', '발색', '햇살', '학교', '독서', '샤인', '낙원', '캄보지', '자연인', '강아지']","[('뷰티', 6), ('인테리어', 6), ('육아', 4), ('헬스', 3), ('여행', 2), ('펫', 1)]",-
cog.j_92,1413,"['축하', '노폐물', '취저', '나트랑', '물놀이', '헤어스프레이', '장충', '메이크업', '발목', '하트', '미샤', '개화', '내일', '콘텐츠', '어깨', '카딘물', '가슴', '트레이닝', '파잉', '코디', '콜라보', '파밍', '디자이너', '미디어', '통증', '떡볶이', '러시아', '완벽', '곰돌이푸', '전망대', '타워', '이드', '주최', '하반기', '포스트', '수납', '도중', '찰떡', '자외선차단제', '근육', '센텔', '야경', '셔츠', '플래그', '파이어', '베트남', '월요일']","[('뷰티', 17), ('헬스', 11), ('여행', 7), ('육아', 6), ('패션', 2), ('인테리어', 2), ('푸드', 2)]",-
d.of.j.c,969,"['숙소', '재롱', '화석', '무늬', '아빠', '지속', '누리', '메이크업', '고기', '천국', '율동', '버슬립스', '키친', '카메라', '게다가', '복부', '송리', '꼬리', '데리', '다크', '틴트', '복근', '트레이닝', '안과', '거만', '러시아', '최진', '천로역정', '동영상', '샬롬', '토요일', '학교', '공부', '껍데기', '침구', '강요', '헬린', '키스', '근육', '셔츠', '비지', '존박']","[('뷰티', 12), ('육아', 9), ('여행', 6), ('헬스', 6), ('펫', 3), ('인테리어', 3), ('푸드', 2), ('패션', 1)]",-
rh_ab,581,"['벨벳', '리치', '제주도', '호캉스', '전부', '발전', '비잉', '에스더', '언제', '디안', '일루', '미국', '조이', '참치회', '완벽', '쓰레빠', '방송국', '비키니', '프리다이빙', '의류', '에메랄드', '스유', '스캔들', '치통', '강사', '월요일']","[('뷰티', 11), ('헬스', 6), ('여행', 3), ('육아', 3), ('패션', 2), ('푸드', 1)]",-
agijagimin,1099,"['스웨덴', '영어', '어린이', '축하', '숙소', '한글', '아빠', '고기', '소세지', '만두', '습관', '거제도', '가요', '카메라', '내일', '호캉스', '뮤지컬', '꼬맹이', '바나나', '개월', '등원', '신비', '획득', '몇장', '야외', '조심', '성적', '최악', '임신', '육아', '소니', '어린이집', '학습', '자칭', '달라', '밴드', '어린이날', '토마토', '동영상', '카페인', '하디', '공부', '가디건', '일일이', '갈비탕', '활동', '울면', '유딩', '월요일']","[('육아', 24), ('여행', 7), ('헬스', 6), ('푸드', 5), ('인테리어', 3), ('뷰티', 2), ('패션', 1), ('펫', 1)]",-
2__yun__2,2738,"['숙소', '마스카라', '백숙', '물놀이', '지속', '메이크업', '고기', '형광등', '와랏', '시술', '글램', '천국', '지방', '아이라인', '하트', '계곡', '제주도', '퀴드', '가요', '프라이머', '난리', '내일', '호캉스', '임산부', '송리', '애교', '안국역', '가죽', '전부', '똥집', '해물파전', '월전', '막걸리', '트루', '틴트', '오늘이', '가슴', '애굣살', '님두', '치과', '스티커', '언제', '교정', '선수촌', '낭낭', '뷰러', '닭강정', '떡볶이', '선수', '소독', '정원', '밴드', '조명', '단어', '눈썹', '요구르트', '생크림', '토요일', '공감', '공부', '껍데기', '비키니', '누렁', '스끼야끼', '척척', '찰떡', '티셔츠', '오므라이스', '근육', '증가', '하이라이트', '거부', '속초', '홍조', '지대', '강아지']","[('뷰티', 24), ('육아', 16), ('헬스', 12), ('푸드', 10), ('여행', 9), ('펫', 2), ('인테리어', 2), ('패션', 1)]",-
jung.y00n,790,"['플라자', '잘만', '팔레트', '릴리', '메이크업', '즉각', '천국', '브릭', '조기', '아이라인', '클리오', '프라이머', '브로', '바닐라코', '꼬리', '원피스', '베이스', '진짜픽', '자켓', '바나나', '코랄', '틴트', '광택', '이니스프리', '콜라보', '티크', '방콕여행', '조심', '주머니', '선수촌', '이목구비', '블러', '브러쉬', '쉬머', '후쿠오카', '눈썹', '라이어', '토요일', '껍데기', '찰떡', '아쉬움', '여름방학', '애견', '보더', '비지', '색조', '무지개', '랄라블라']","[('뷰티', 25), ('여행', 6), ('육아', 5), ('헬스', 3), ('인테리어', 3), ('펫', 3), ('패션', 2), ('푸드', 1)]",-
sooviin38,447,"['코코', '내일', '플럼핑', '밀착', '르쿠션엉크르드뽀', '입생', '세미', '컨실러', '스팅', '브링그린', '카와이', '쫀쫀', '지속', '메이크업', '크리에이터', '에센스', '코랄', '핸드', '쉐이드', '틴트', '젤귀', '하트', '립스틱', '륍떼플럼프', '펄스', '방전', '입생로랑', '아인', '이어링', '카메라']","[('뷰티', 21), ('육아', 4), ('헬스', 2), ('인테리어', 1), ('푸드', 1), ('여행', 1)]",-
pianolsy,1357,"['축하', '여의도', '물놀이', '무늬', '메이크업', '글자', '율동', '하트', '카메라', '화이팅', '내일', '비행기', '당일치기', '콜라보', '강릉', '공항', '언제', '일인', '잘못', '밤하늘', '정신', '자연인', '포스터', '무지개']","[('여행', 9), ('헬스', 6), ('육아', 5), ('인테리어', 2), ('뷰티', 2)]",여행
_seong_hee,953,"['숙소', '팔레트', '스팅', '취저', '물놀이', '지속', '메이크업', '존예', '스튜어트', '왕따', '하트', '립스틱', '제주도', '난리', '업데이트', '필수품', '내일', '밀착', '섀도우', '이니스프리', '목표', '호보', '코디', '콜라보', '블러', '브러쉬', '파운데이션', '핑쿠', '제타', '눈썹', '이돌', '아이오', '코코', '루쥬', '정품', '샤인', '월요일']","[('뷰티', 21), ('육아', 5), ('헬스', 5), ('여행', 3), ('패션', 3)]",-
keykney,1516,"['하라', '영어', '어린이', '축하', '숙소', '형상', '레미', '시네마', '견주', '사료', '화산', '제주도', '고양이', '가요', '화이팅', '내일', '마미', '취지', '베이비', '개월', '설정', '키크', '이니스프리', '멘탈', '목표', '만화', '콜라보', '댕댕', '포코', '존경', '밴드', '팬티', '워킹맘', '흥이', '유기견', '예스', '키즈', '공감', '공부', '활동', '잘못', '넣기', '볼륨', '책임', '강아지']","[('육아', 19), ('헬스', 9), ('펫', 8), ('여행', 4), ('뷰티', 4), ('인테리어', 1)]",-
seon_y_j,1416,"['축하', '소통', '마개', '잇츠', '물놀이', '쫀쫀', '메이크업', '바가지', '존예', '우훗', '프레임', '어보', '내일', '밀착', '축복', '가구', '자켓', '틴트', '광택', '번의', '취소', '코디', '도서', '분기', '어른', '이빨', '콩고', '고발', '분광', '긍정', '대회', '땡땡', '촤르르', '근황', '주저', '잘못', '하객', '정신', '안습', '속초', '아이디']","[('뷰티', 13), ('헬스', 10), ('육아', 8), ('펫', 4), ('패션', 3), ('인테리어', 2), ('여행', 1)]",-
shu_kiiiii,635,"['기네', '축하', '소나기', '부심', '관계자', '랜선', '가요', '진주', '우동', '도어', '내일', '매년', '콧구멍', '막걸리', '릴레이', '야외', '언제', '안동시', '아동', '떡볶이', '똘망똘망', '우리엄마', '요구르트', '제자', '토요일', '무대', '최선', '크리에이터', '하필']","[('헬스', 10), ('육아', 6), ('푸드', 4), ('인테리어', 2), ('여행', 2), ('펫', 2), ('뷰티', 2), ('패션', 1)]",-
wanna._b,1652,"['스웨덴', '창고', '영어', '팔레트', '릴리', '타이페이', '메이크업', '소나기', '시네마', '전쟁', '심천', '기차', '로시', '트레인', '프랄린', '년도', '가요', '카메라', '내일', '애교', '마카오', '오사카', '일본여행', '가죽', '블라디', '슬릿', '섀도', '가슴', '아시아나', '치과', '코디', '유튭', '스팟', '교정', '패러글라이딩', '안과', '영광', '긍정', '체인지', '절벽', '공부', '키스', '투어', '항공', '싱가포르', '밤하늘', '에메랄드', '셔츠', '야경', '운동화', '타투', '리넨', '월요일']","[('여행', 20), ('뷰티', 11), ('헬스', 8), ('육아', 5), ('인테리어', 4), ('패션', 3), ('펫', 2)]",여행
ue1124,1043,"['욕심', '축하', '소통', '어어', '모발', '몇번', '메이크업', '딕펑스', '조기', '지방', '위즈', '고양이', '난리', '카메라', '화이팅', '트롤리', '내일', '콘텐츠', '비행기', '유이', '너희', '신곡', '바나나', '틴트', '팬아트', '스티커', '썬글라스', '자궁', '여기저기', '언제', '요트', '거만', '뽜이팅', '분광', '짬뽕', '손상', '빡빡', '오열', '카페인', '토요일', '공감', '기장', '깨방정', '근육', '베베', '배앰', '트레이너']","[('육아', 12), ('헬스', 11), ('뷰티', 11), ('펫', 4), ('인테리어', 3), ('여행', 3), ('패션', 2), ('푸드', 1)]",-
bichon_tori,1318,"['욕심', '그네', '몇번', '크롭티', '침대', '아빠', '시술', '소파', '초복', '기차', '사료', '쪼꼬미', '눈매', '하트', '가요', '난리', '놀이', '카메라', '애교', '도래', '콧구멍', '원피스', '가구', '개월', '꼬질꼬질', '식탁', '자동', '기저귀', '조심', '교정', '가젤', '통증', '대리석', '동물병원', '아기', '눈사람', '감각', '등교', '동영상', '공부', '투어', '흰자', '찰떡', '여름방학', '뉘집', '하필', '정신', '거부', '감쪽', '애견', '엑스', '대형견', '장마철', '강아지']","[('육아', 17), ('펫', 9), ('헬스', 7), ('인테리어', 6), ('뷰티', 6), ('여행', 4), ('패션', 3), ('푸드', 2)]",-
ahsy_u,1939,"['벨벳', '축하', '리치', '디도', '클렌징', '침대', '썸네일', '아빠', '지속', '메이크업', '큐앤', '잉크', '장시간', '홀리', '쿨톤', '립스틱', '퀴드', '블러셔', '카메라', '립추', '내일', '호캉스', '매년', '밀착', '상세', '전부', '베이스', '틴트', '섀도', '일부러', '지성', '취소', '코디', '콜라보', '강릉', '라이터', '분기', '조심', '언제', '어퓨', '컨실러', '블러', '브러쉬', '파운데이션', '페리페라', '달라', '팬티', '눈썹', '발색', '유기견', '딥클렌징', '동영상', '상하', '세미', '찰떡', '질부', '정신', '샌디', '베트남', '엑스', '타투', '강아지', '월요일']","[('뷰티', 35), ('헬스', 9), ('육아', 7), ('여행', 4), ('패션', 3), ('펫', 3), ('인테리어', 2)]",뷰티
boori_boo,619,"['숙소', '팔레트', '사심', '메이크업', '존예', '습관', '립스틱', '제주도', '년도', '놀이', '블러셔', '카메라', '립추', '밀착', '섀도우', '원피스', '전부', '힐리', '틴트', '토니모리', '코디', '릴레이', '언제', '교복', '댕댕', '메종', '조명', '동경', '그라데이션', '이두', '수납', '의류', '스냅', '거부', '엘사', '성광고', '어뮤즈', '월요일']","[('뷰티', 14), ('육아', 6), ('여행', 4), ('헬스', 4), ('패션', 4), ('인테리어', 4), ('펫', 1), ('푸드', 1)]",-
dei8ht,227,"['축하', '독서', '어어', '자켓', '셔츠', '시술', '눈썹', '업뎃', '다짐', '나루']","[('패션', 4), ('헬스', 2), ('뷰티', 2), ('육아', 1), ('여행', 1)]",-
yong_mom,1586,"['어린이', '팔로', '유치원', '침대', '아빠', '고기', '소파', '사료', '놀이터', '브릭', '춘기', '하트', '고양이', '놀이', '내일', '비행기', '매트리스', '데리', '일본여행', '가구', '집사', '군인', '학년', '베이비', '아스타', '오늘이', '공룡', '문학', '스티커', '코디', '도서', '면역', '아동', '침실', '러그', '쇼파', '용상', '달라', '어린이날', '키즈', '아들', '토요일', '학교', '전집', '코코', '생쥐', '독서', '원목', '잘못', '여름방학', '초등학생', '흥미']","[('육아', 28), ('인테리어', 9), ('헬스', 6), ('펫', 4), ('여행', 2), ('푸드', 1), ('패션', 1), ('뷰티', 1)]",-
soooonee,366,"['언제', '매년', '원피스', '투어', '자켓', '거부', '전망대', '업뎃', '오이', '제주도', '오열', '토마토', '사랑둥이', '진주', '숄더', '플라밍고']","[('패션', 4), ('육아', 3), ('여행', 3), ('푸드', 2), ('펫', 2), ('헬스', 1), ('뷰티', 1)]",-
hyeon__e_,539,"['교정', '욕심', '내일', '축하', '이목구비', '인생샷', '파란', '성당', '아동', '아란', '트루', '가슴', '천국', '슬슬', '고정력', '습관', '하트', '절벽', '초등학생', '베니스', '카메라']","[('여행', 7), ('헬스', 6), ('육아', 4), ('뷰티', 3), ('펫', 1)]",-
1995.mj,1096,"['축하', '숙소', '팔레트', '취저', '직경', '메이크업', '설민석', '아이라인', '제주도', '도대체', '유목민', '놀이', '장비', '블러셔', '내일', '매년', '꼬리', '설현', '룰루', '롯데리아', '꾸르잼', '틴트', '코디', '도서', '강릉', '라이터', '양념', '언제', '요트', '파란', '교복', '블러', '브러쉬', '큐템', '파운데이션', '또래', '도수', '예스', '비키니', '투어', '티셔츠', '세분', '산소', '월요일']","[('뷰티', 15), ('육아', 8), ('헬스', 7), ('여행', 7), ('푸드', 3), ('패션', 3), ('펫', 1)]",-
1icentia,627,"['이론', '취저', '소품', '윤지', '상남동', '할슈타트', '제주도', '내일', '이도', '데리', '취소', '코디', '양념', '언제', '교복', '곰돌이푸', '비행', '눈사람', '토요일', '쥬쥬', '일일이', '진미', '스냅', '유아교육', '정신']","[('헬스', 5), ('푸드', 5), ('육아', 5), ('여행', 4), ('뷰티', 2), ('인테리어', 2), ('패션', 2)]",-
lloveeely,345,"['주머니', '내일', '뮤지컬', '애교', '원피스', '전부', '전신', '일몰', '오늘이', '엑스', '스티커', '하트', '코디', '하반기']","[('헬스', 5), ('육아', 4), ('패션', 2), ('펫', 1), ('여행', 1), ('뷰티', 1)]",-
ttovely__,1802,"['계란말이', '축하', '상실', '데님', '모던', '업뎃될', '밴딩', '블라우스', '실크', '글램', '남방', '슬림', '땅콩', '업뎃', '하트', '제주도', '가요', '업데이트', '따라서', '실루엣', '내일', '비행기', '상세', '콧구멍', '원피스', '가죽', '전부', '피지', '크레이프', '발전', '상체', '옆구리', '입니댜', '오늘이', '스티커', '코디', '릴레이', '꼬까신', '위아래', '주택', '슬랙스', '장아찌', '광장', '스커트', '팬츠', '밴드', '이드', '하체', '햇살', '밑단', '청첩장', '골반', '수납', '도중', '전면', '찰떡', '기장', '거부', '완죠', '홍조', '지대', '호피', '월요일']","[('패션', 17), ('헬스', 13), ('뷰티', 10), ('육아', 8), ('인테리어', 7), ('여행', 4), ('푸드', 3), ('펫', 1)]",패션
minyoung_aori,1632,"['창고', '첨가', '숙소', '오페', '팔레트', '스팅', '지속', '메이크업', '고기', '에센스', '밴딩', '큐앤', '시술', '천국', '시반', '아이라인', '서재', '제주도', '브이넥', '틴티드', '블러셔', '마닐라', '내일', '호캉스', '핫핑크', '컬처', '다이닝', '원피스', '타이거릴리', '코랄', '스티커', '콜라보', '유튭', '미립', '스팟', '도저히', '목금', '감덩', '메이트', '파운데이션', '아기', '눈썹', '발색', '이돌', '두바이', '동영상', '상하', '이어링', '골반', '정품', '드컷', '활동', '의류', '찰떡', '티셔츠', '기장', '크리에이터', '퍼플', '하필', '속초', '부리고', '타투', '웜톤', '색조', '월요일']","[('뷰티', 32), ('여행', 10), ('육아', 7), ('패션', 6), ('헬스', 5), ('인테리어', 3), ('푸드', 2)]",뷰티
ro.junghwa,1434,"['상어', '숙소', '데님', '나트랑', '크롭티', '지속', '메이크업', '인천', '반려견', '천국', '쿨톤', '조기', '하트', '제주도', '프라이머', '업데이트', '내일', '섀도우', '애교', '네이비', '원피스', '어깨', '전부', '가구', '발전', '청과', '코디', '유튭', '조심', '스팟', '졸잼', '백설공주', '마네', '교복', '블러', '브러쉬', '파운데이션', '팬츠', '달라', '미끄럼틀', '블루투스', '발색', '다짐', '동영상', '세미', '제바', '기장', '낙원', '플래그', '마우스', '베트남', '강아지']","[('뷰티', 15), ('패션', 9), ('육아', 8), ('여행', 8), ('헬스', 6), ('펫', 3), ('인테리어', 3)]",패션
yoomth,2517,"['영어', '완전체', '축하', '호흡', '디케이', '소통', '마스카라', '강도', '몇번', '모공', '대고', '침대', '아빠', '메이크업', '찬스', '신랑', '몰래', '펄땡', '발진', '천국', '글자', '호흡기', '립스틱', '볶음', '공갈', '스을쩍', '여보', '따라서', '내일', '쉐이딩', '누드', '임산부', '섀도우', '웜톤쿨톤', '원피스', '에뛰드하우스', '전부', '발전', '베이비', '출산', '다크', '개월', '건성', '토실', '가슴', '예비', '진보', '지성', '멘탈', '자궁', '방학', '향상', '언제', '교정', '미디어', '임신', '동공', '통증', '육아', '쪽쪽이', '뷰러', '신생아', '엉엉', '어린이집', '사두', '소독', '디파', '파운데이션', '줌마', '달라', '아기', '놀람', '조명', '단어', '눈썹', '이드', '발색', '둘째', '오열', '하체', '아리따움', '아들', '학교', '수유', '공부', '마더', '근황', '마누카', '마나', '배앓이', '쿨링팩', '썬크림', '제모', '볼륨', '정신', '거부', '동기부여', '자연인', '서든', '이블린', '이스라엘', '월요일']","[('육아', 41), ('뷰티', 28), ('헬스', 18), ('여행', 4), ('인테리어', 4), ('펫', 4), ('푸드', 2), ('패션', 1)]",뷰티 육아
peach_chu_,1668,"['줄줄', '어린이', '축하', '렌징', '에센스', '존예', '만두', '화산', '하트', '가요', '놀이', '유스', '브로', '내일', '쫄면', '호캉스', '송리', '안국역', '감량', '베이스', '자켓', '틴트', '진생', '멘탈', '별표', '티크', '웨스트', '언제', '퉁퉁', '모먼트', '이목구비', '아동', '블러', '프루프', '브러쉬', '파운데이션', '눈썹', '오열', '하체', '어린이날', '캐릭터', '테이크', '스냅', '찰떡', '티셔츠', '왼쪽', '야경', '아란', '솜팩', '체인']","[('뷰티', 18), ('육아', 9), ('헬스', 9), ('여행', 5), ('푸드', 3), ('패션', 3), ('펫', 2), ('인테리어', 1)]",-
